,title,book_id,publication_year,ratings_count,language_code,average_rating,economics,politics,sociology,society,political-science,government,history,philosophy,theory
2,The Devil's Notebook,287149,2000.0,986,,3.81,0,0,0,0,0,0,0,1,0
5,Heaven,89376,,7345,eng,4.26,0,0,0,0,0,0,0,1,0
6,Crude World: The Violent Twilight of Oil,6158967,,338,en-US,3.75,0,1,0,1,0,0,0,0,0
25,On the Move: A Life,25166650,,136,,4.03,0,0,0,0,0,0,1,1,0
30,Combat and Other Shenanigans,20924358,2014.0,169,eng,3.87,0,0,0,0,0,0,1,0,0
49,Lusitania: An Epic Tragedy,828180,,368,,4.0,0,0,0,0,0,0,1,0,0
65,Reagan at Reykjavik: Forty-Eight Hours That Ended the Cold War,18498572,2014.0,115,,4.08,0,1,0,0,0,0,1,0,0
85,Nasty Women,33022718,2017.0,490,eng,4.25,0,1,1,0,0,0,0,0,0
89,How to Live Forever,18908446,,581,eng,4.02,0,0,0,0,0,0,0,1,0
100,The Race for What's Left: The Global Scramble for the World's Last Resources,11731786,2012.0,151,,3.73,1,1,0,0,0,0,0,0,0
105,"The Grand Slam: Bobby Jones, America, and the Story of Golf",1167728,2004.0,432,,4.34,0,0,0,0,0,0,1,0,0
111,The Greatest Show on Earth: The Evidence for Evolution,6359544,2009.0,655,,4.16,0,0,0,0,0,0,1,1,0
113,The Young Hitler I Knew,54276,2006.0,180,en-US,4.0,0,0,0,0,0,0,1,0,0
115,The Wisdom of Finance: Discovering Humanity in the World of Risk and Return,30971680,2017.0,179,eng,4.18,1,0,0,0,0,0,1,0,0
120,Mein Kampf,54270,,16837,en-US,3.13,0,1,0,0,0,0,1,0,0
127,"The Root of Wild Madder: Chasing the History, Mystery, and Lore of the Persian Carpet",268461,2006.0,116,,3.7,0,0,0,0,0,0,1,0,0
136,A Religious History of the American People,598196,2004.0,114,eng,4.1,0,0,0,0,0,0,1,0,0
148,The Anthropic Cosmological Principle,218097,,144,eng,3.95,0,0,0,0,0,0,0,1,0
